日期,渠道,花费,成交金额,备注
2017-11-24,直通车,453.07,2997.7,演示数据
2017-11-24,淘宝客,222.8,1893.97,演示数据
2017-11-24,引力魔方,179.03,1851.48,演示数据
2017-11-24,万相台,167.81,894.92,演示数据
2017-11-24,站外推广,43.64,629.21,演示数据
2017-11-25,直通车,2147.14,38214.42,演示数据
2017-11-25,淘宝客,2684.22,14977.23,演示数据
2017-11-25,引力魔方,1959.86,9738.9,演示数据
2017-11-25,万相台,1275.25,13225.54,演示数据
2017-11-25,站外推广,615.84,3412.73,演示数据
2017-11-26,直通车,2117.64,27098.12,演示数据
2017-11-26,淘宝客,2845.68,16548.82,演示数据
2017-11-26,引力魔方,1883.78,14107.18,演示数据
2017-11-26,万相台,1530.64,13070.73,演示数据
2017-11-26,站外推广,318.53,3830.5,演示数据
2017-11-27,直通车,3586.11,39421.92,演示数据
2017-11-27,淘宝客,3004.76,23530.75,演示数据
2017-11-27,引力魔方,1282.47,17705.31,演示数据
2017-11-27,万相台,1153.25,10055.95,演示数据
2017-11-27,站外推广,513.79,4246.9,演示数据
2017-11-28,直通车,2261.92,19372.84,演示数据
2017-11-28,淘宝客,1970.91,24586.25,演示数据
2017-11-28,引力魔方,1411.58,19933.65,演示数据
2017-11-28,万相台,1034.46,14573.54,演示数据
2017-11-28,站外推广,407.52,5106.92,演示数据
2017-11-29,直通车,3185.82,28741.75,演示数据
2017-11-29,淘宝客,2860.39,18590.95,演示数据
2017-11-29,引力魔方,2518.97,13328.13,演示数据
2017-11-29,万相台,1507.16,10275.09,演示数据
2017-11-29,站外推广,563.96,5200.34,演示数据
2017-11-30,直通车,2611.82,23609.91,演示数据
2017-11-30,淘宝客,2201.62,23896.32,演示数据
2017-11-30,引力魔方,2630.95,12326.35,演示数据
2017-11-30,万相台,1384.44,17804.39,演示数据
2017-11-30,站外推广,796.89,4057.94,演示数据
2017-12-01,直通车,3277.58,19133.64,演示数据
2017-12-01,淘宝客,2394.12,17704.23,演示数据
2017-12-01,引力魔方,1218.59,12316.25,演示数据
2017-12-01,万相台,752.02,12245.27,演示数据
2017-12-01,站外推广,483.82,5081.02,演示数据
2017-12-02,直通车,3551.39,39744.7,演示数据
2017-12-02,淘宝客,2447.25,25398.98,演示数据
2017-12-02,引力魔方,3320.31,22354.54,演示数据
2017-12-02,万相台,1445.46,21939.14,演示数据
2017-12-02,站外推广,778.34,6771.41,演示数据
2017-12-03,直通车,4364.17,41112.91,演示数据
2017-12-03,淘宝客,2306.86,26557.55,演示数据
2017-12-03,引力魔方,1172.9,17352.53,演示数据
2017-12-03,万相台,860.76,14777.66,演示数据
2017-12-03,站外推广,588.39,5150.29,演示数据
